,uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release
0,cc4d4f6a-d5ba-446b-ad84-aa5e75b193eb,2022-09-26,ABBY_063.basePlot.bgc,D16,ABBY,ABBY_063,tower,2022-06-13T17:30Z,2022-06-13T17:30Z,ABBY_063-M-21-20220613,A00000293048,ABBY_063-M-21-20220613-CN,A00000292965,soil,N,N,5.0,-25.7,0.22,4.37,19.8,OK,OK,OK,OK,2.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T052847Z,RELEASE-2025
1,6242af4c-1d1e-4182-bd19-87f674ec2ccd,2022-09-26,ABBY_063.basePlot.bgc,D16,ABBY,ABBY_063,tower,2022-06-13T17:30Z,2022-06-13T17:30Z,ABBY_063-M-21-20220613,A00000293048,ABBY_063-M-21-20220613-CN,A00000292965,soil,N,N,4.9,-25.8,0.23,4.62,20.2,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T052847Z,RELEASE-2025
2,7f733f1b-899a-4ac4-b899-fb3bf7da78ba,2022-09-26,ABBY_001.basePlot.bgc,D16,ABBY,ABBY_001,distributed,2022-06-13T17:59Z,2022-06-13T17:59Z,ABBY_001-M-21-20220613,A00000292894,ABBY_001-M-21-20220613-CN,A00000293122,soil,N,N,3.0,-25.1,0.33,7.15,21.6,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T052847Z,RELEASE-2025
3,83ac56e5-963a-4c79-af55-33fe1d29f3a8,2022-10-05,ABBY_063.basePlot.bgc,D16,ABBY,ABBY_063,tower,2022-06-13T18:15Z,2022-06-13T18:15Z,ABBY_063-O-23-20220613,A00000293047,ABBY_063-O-23-20220613-CN,A00000292982,soil,N,Y,-2.2,,0.48,,,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,009 EA-IRMS organic d15N & N%,Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T052847Z,RELEASE-2025
4,d440b5fd-cec4-487b-b2a4-78d3b39831f9,2022-09-26,ABBY_063.basePlot.bgc,D16,ABBY,ABBY_063,tower,2022-06-13T18:15Z,2022-06-13T18:15Z,ABBY_063-O-23-20220613,A00000293047,ABBY_063-O-23-20220613-CN,A00000292982,soil,N,N,,-26.0,,50.44,,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,008 EA-IRMS organic d13C & C%,Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T052847Z,RELEASE-2025
5,6cb4658b-c325-4d67-b624-59f8d05296e9,2022-09-26,ABBY_001.basePlot.bgc,D16,ABBY,ABBY_001,distributed,2022-06-13T18:46Z,2022-06-13T18:46Z,ABBY_001-M-39-20220613,A00000292284,ABBY_001-M-39-20220613-CN,A00000292978,soil,N,N,3.9,-25.6,0.25,4.91,19.3,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T052847Z,RELEASE-2025
6,d1a158ad-aa17-490d-8d41-4a954daee1fd,2022-10-05,ABBY_063.basePlot.bgc,D16,ABBY,ABBY_063,tower,2022-06-13T19:04Z,2022-06-13T19:04Z,ABBY_063-M-41-20220613,A00000292128,ABBY_063-M-41-20220613-CN,A00000293121,soil,N,Y,4.6,,0.42,,,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,009 EA-IRMS organic d15N & N%,Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T052847Z,RELEASE-2025
7,e8143544-76e0-46fd-a694-3006d9d5de96,2022-09-26,ABBY_063.basePlot.bgc,D16,ABBY,ABBY_063,tower,2022-06-13T19:04Z,2022-06-13T19:04Z,ABBY_063-M-41-20220613,A00000292128,ABBY_063-M-41-20220613-CN,A00000293121,soil,N,N,,-25.9,,8.51,,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,008 EA-IRMS organic d13C & C%,Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T052847Z,RELEASE-2025
8,00c13240-17ef-4f2c-8a14-0129648692e9,2022-09-26,ABBY_001.basePlot.bgc,D16,ABBY,ABBY_001,distributed,2022-06-13T19:22Z,2022-06-13T19:22Z,ABBY_001-M-41-20220613,A00000292283,ABBY_001-M-41-20220613-CN,A00000292962,soil,N,N,3.0,-26.0,0.18,3.78,20.9,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T052847Z,RELEASE-2025
9,671f31dd-7d95-4351-8724-7e4fa86a8a77,2022-09-26,ABBY_061.basePlot.bgc,D16,ABBY,ABBY_061,tower,2022-06-13T20:30Z,2022-06-13T20:30Z,ABBY_061-M-21-20220613,A00000292863,ABBY_061-M-21-20220613-CN,A00000293124,soil,N,N,4.1,-26.5,0.27,5.86,21.5,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T052847Z,RELEASE-2025
